date,Total,count
24.05.24,161615,-1
23.05.24,161616,24
22.05.24,161592,-104
21.05.24,161696,-10
20.05.24,161706,104
19.05.24,161602,5
18.05.24,161597,-6
17.05.24,161603,4
16.05.24,161599,65
15.05.24,161534,47
14.05.24,161487,115
13.05.24,161372,108
12.05.24,161264,2
11.05.24,161262,7
10.05.24,161255,-25
09.05.24,161280,33
08.05.24,161247,-2
07.05.24,161249,90
06.05.24,161159,28
05.05.24,161131,-72
04.05.24,161203,32
03.05.24,161171,52
02.05.24,161119,6
01.05.24,161113,-113
30.04.24,161226,-27
29.04.24,161253,-74
28.04.24,161327,-63
27.04.24,161390,-39
26.04.24,161429,-90
25.04.24,161519,-60
24.04.24,161579,-104
23.04.24,161683,-14
22.04.24,161697,-50
21.04.24,161747,-61
20.04.24,161808,-57
19.04.24,161865,-111
18.04.24,161976,-96
17.04.24,162072,-101
16.04.24,162173,9
15.04.24,162164,-8
14.04.24,162172,-49
13.04.24,162221,-81
12.04.24,162302,-101
11.04.24,162403,-32
10.04.24,162435,-93
09.04.24,162528,-75
08.04.24,162603,19
07.04.24,162584,-39
06.04.24,162623,-32
05.04.24,162655,-73
04.04.24,162728,-46
03.04.24,162774,-59
02.04.24,162833,-42
01.04.24,162875,-72
31.03.24,162947,-100
30.03.24,163047,-67
29.03.24,163114,-28
28.03.24,163142,-27
27.03.24,163169,-70
26.03.24,163239,11
25.03.24,163228,23
24.03.24,163205,-75
23.03.24,163280,6
22.03.24,163274,-83
21.03.24,163357,-14
20.03.24,163371,-16
19.03.24,163387,-61
18.03.24,163448,43
17.03.24,163405,19
16.03.24,163386,19
15.03.24,163367,-110
14.03.24,163477,-37
13.03.24,163514,-50
12.03.24,163564,105
11.03.24,163459,-22
10.03.24,163481,-68
09.03.24,163549,-104
08.03.24,163653,-145
07.03.24,163798,-164
06.03.24,163962,-86
05.03.24,164048,-30
04.03.24,164078,-3
03.03.24,164081,-54
02.03.24,164135,-78
01.03.24,164213,-91
29.02.24,164304,-134
28.02.24,164438,-123
27.02.24,164561,-59
26.02.24,164620,-44
25.02.24,164664,-67
24.02.24,164731,-78
23.02.24,164809,-130
22.02.24,164939,-66
21.02.24,165005,-115
20.02.24,165120,2
19.02.24,165118,-135
18.02.24,165253,-37
17.02.24,165290,-63
16.02.24,165353,-159
15.02.24,165512,-77
14.02.24,165589,-131
13.02.24,165720,33
12.02.24,165687,22
11.02.24,165665,-130
10.02.24,165795,-114
09.02.24,165909,-128
08.02.24,166037,47
07.02.24,165990,-64
06.02.24,166054,38
05.02.24,166016,-8
04.02.24,166024,-21
03.02.24,166045,-56
02.02.24,166101,-136
01.02.24,166237,-63
31.01.24,166300,-186
30.01.24,166486,22
29.01.24,166464,-5
28.01.24,166469,-16
27.01.24,166485,-21
26.01.24,166506,-133
25.01.24,166639,53
24.01.24,166586,-25
23.01.24,166611,29
22.01.24,166582,-154
21.01.24,166736,-96
20.01.24,166832,-75
19.01.24,166907,-120
18.01.24,167027,-116
17.01.24,167143,240
16.01.24,166903,669
15.01.24,166234,82
14.01.24,166152,2
13.01.24,166150,126
12.01.24,166024,568
11.01.24,165456,257
10.01.24,165199,55
09.01.24,165144,268
08.01.24,164876,-20
07.01.24,164896,-117
06.01.24,165013,-158
05.01.24,165171,-150
04.01.24,165321,-24
03.01.24,165345,13
02.01.24,165332,584
01.01.24,164748,-42
31.12.23,164790,-135
30.12.23,164925,-222
29.12.23,165147,-230
28.12.23,165377,-76
27.12.23,165453,81
26.12.23,165372,900
25.12.23,164472,79
24.12.23,164393,34
23.12.23,164359,66
22.12.23,164293,-85
21.12.23,164378,-110
20.12.23,164488,63
19.12.23,164425,911
18.12.23,163514,64
17.12.23,163450,45
16.12.23,163405,29
15.12.23,163376,-58
14.12.23,163434,117
13.12.23,163317,744
12.12.23,162573,2030
11.12.23,160543,598
10.12.23,159945,531
09.12.23,159414,109
08.12.23,159305,-84
07.12.23,159389,41
06.12.23,159348,437
05.12.23,158911,852
04.12.23,158059,725
03.12.23,157334,681
02.12.23,156653,817
01.12.23,155836,694
30.11.23,155142,536
29.11.23,154606,521
28.11.23,154085,747
27.11.23,153338,551
26.11.23,152787,655
25.11.23,152132,586
24.11.23,151546,-92
23.11.23,151638,254
22.11.23,151384,283
21.11.23,151101,-46
20.11.23,151147,-148
19.11.23,151295,-95
18.11.23,151390,-18
17.11.23,151408,-27
16.11.23,151435,0
15.11.23,151435,-48
14.11.23,151483,-43
13.11.23,151526,-10
12.11.23,151536,-110
11.11.23,151646,-65
10.11.23,151711,-158
09.11.23,151869,-152
08.11.23,152021,-1
07.11.23,152022,0
06.11.23,152022,-24
05.11.23,152046,67
04.11.23,151979,183
03.11.23,151796,117
02.11.23,151679,99
